nohup: ignoring input
 UPDATE  The latest version of `serve` is 14.2.5
 INFO  Accepting connections at http://localhost:5173
 HTTP  11/30/2025 8:27:44 PM 192.168.1.18 GET /
 HTTP  11/30/2025 8:27:44 PM 192.168.1.18 Returned 200 in 14 ms
 HTTP  11/30/2025 8:27:49 PM 127.0.0.1 HEAD /
 HTTP  11/30/2025 8:27:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2025 8:33:01 PM 127.0.0.1 HEAD /
 HTTP  11/30/2025 8:33:01 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2025 8:36:26 PM 127.0.0.1 HEAD /
 HTTP  11/30/2025 8:36:26 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  11/30/2025 8:37:04 PM 127.0.0.1 HEAD /
 HTTP  11/30/2025 8:37:04 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2025 8:41:39 PM 192.168.1.18 GET /
 HTTP  11/30/2025 8:41:39 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 8:42:03 PM 192.168.1.18 GET /
 HTTP  11/30/2025 8:42:03 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 8:44:00 PM 192.168.1.18 GET /sites/test-site/preferences
 HTTP  11/30/2025 8:44:00 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 8:44:17 PM 192.168.1.18 GET /sites/hkjhkh
 HTTP  11/30/2025 8:44:17 PM 192.168.1.18 Returned 200 in 2 ms
 HTTP  11/30/2025 8:44:25 PM 192.168.1.18 GET /sites/noloficatwwion-test/preferences
 HTTP  11/30/2025 8:44:25 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 9:04:07 PM 127.0.0.1 HEAD /
 HTTP  11/30/2025 9:04:07 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  11/30/2025 9:09:00 PM 127.0.0.1 HEAD /
 HTTP  11/30/2025 9:09:00 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2025 9:09:08 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:09:08 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:09:08 PM 192.168.1.18 GET /assets/index-C_8f3LN1.js
 HTTP  11/30/2025 9:09:08 PM 192.168.1.18 Returned 200 in 3 ms
 HTTP  11/30/2025 9:09:08 PM 192.168.1.18 GET /assets/index-BgH_eM4q.css
 HTTP  11/30/2025 9:09:08 PM 192.168.1.18 Returned 200 in 2 ms
 HTTP  11/30/2025 9:09:35 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:09:35 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:09:45 PM 127.0.0.1 HEAD /
 HTTP  11/30/2025 9:09:45 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2025 9:10:21 PM 192.168.1.18 GET /admin
 HTTP  11/30/2025 9:10:21 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 9:10:35 PM 192.168.1.18 GET /auth/callback?code=B4k1ocEU9akOHRJ83DrqYcBc8blr3pCyQu946cmsjs0&state=57zhif
 HTTP  11/30/2025 9:10:35 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:10:43 PM 192.168.1.18 GET /admin
 HTTP  11/30/2025 9:10:43 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:10:49 PM 192.168.1.18 GET /admin
 HTTP  11/30/2025 9:10:49 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:11:26 PM 192.168.1.18 GET /auth/callback?code=O2JyAN4HunIlAePudGMQHkBWmFFdzDLhExVEpf7ZtnI&state=fqgevq
 HTTP  11/30/2025 9:11:26 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:12:18 PM 192.168.1.18 GET /admin
 HTTP  11/30/2025 9:12:18 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:13:57 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:13:57 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:13:57 PM 192.168.1.18 GET /assets/index-B5nbTDoK.js
 HTTP  11/30/2025 9:13:57 PM 192.168.1.18 Returned 200 in 2 ms
 HTTP  11/30/2025 9:15:21 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:15:21 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:15:21 PM 192.168.1.18 GET /assets/index-kEtcoyxJ.js
 HTTP  11/30/2025 9:15:21 PM 192.168.1.18 Returned 200 in 2 ms
 HTTP  11/30/2025 9:15:52 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:15:52 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:17:18 PM 192.168.1.18 GET /admin
 HTTP  11/30/2025 9:17:18 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:17:18 PM 192.168.1.18 GET /assets/index-erhXkw7c.js
 HTTP  11/30/2025 9:17:18 PM 192.168.1.18 Returned 200 in 2 ms
 HTTP  11/30/2025 9:17:43 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:17:43 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:17:57 PM 192.168.1.18 GET /login
